Таблица 1 – Значения присваиваемых весов трофеям у игроков.
Название трофея	Вес
Champions League Winner	10
FIFA Club World Cup winner	10
Europa League Winner	9
UEFA Supercup Winner	8
Champions League runner-up	8
Europa League runner-up	7
UEFA Super Cup runner-up	6
Conference League winner	6
Conference League runner up	5
Champions League Participant	4
Europa League Participant	3
English Champion	9
German Champion	9
Spanish Champion	9
Italian Champion	9
French Champion	9
FA Cup Winner	8
German Cup winner	8
Spanish Cup winner	8
English Supercup Winner	7
French Supercup Winner	7
Italian Super Cup winner	7
English League Cup winner	6
French league cup winner	6
FA Cup Runner up	5
German Cup runner-up	5
English League Cup runner-up	4
French league cup runner-up	4
German Runner Up	3
relegated from 1st league	3
English 2nd tier champion	7
German 2. Bundesliga Champion	7
Spanish 2nd tier champion	7
Italian Serie B champion	7
French 2nd tier champion	7
Promoted to 1st league	6
English 3rd tier champion	5
Promoted to 2. Liga	5
German 3. Liga Champion	5
Promoted to third tier	4
Promotion to 4th division	3
relegated from 2nd league	3
relegated from 3rd league	3
Relegation from 4th division	2
German Regionalliga Bavaria Champion	4
German Regionalliga West Champion	4
Italians U19s Cup Winner	4
U21 Premier League Sieger	4
Landespokal Württemberg Winner	3
Italian Lega Pro Champion (A/C)	3
Scudetto Serie D	3
Italienischer Pokalsieger (Serie C)	3
Herbstmeister (Autumn Champion)	2
Copa Catalunya Winner	1
